repo,hash,url
Atmosphere/atmosphere,4b29a2689ce203199311ba8e25c530b0d79721ac,https://github.com/Atmosphere/atmosphere
yasserg/crawler4j,c7f62d000621017704b20a62145cf5d2acfeea0d,https://github.com/yasserg/crawler4j
bauerca/drag-sort-listview,c3cfccee21676149dfdf8e803c0ec2eaebc6b841,https://github.com/bauerca/drag-sort-listview
rabbitmq/rabbitmq-tutorials,ada86a3e9041ca3e9f4e405456b810fc4e59fca0,https://github.com/rabbitmq/rabbitmq-tutorials
zouzg/mybatis-generator-gui,c8fe12cdf52e0335df1811f8b0bf7883f8b4cbaa,https://github.com/zouzg/mybatis-generator-gui
spring-projects/spring-security-oauth,4aa19ade695214257c2c1c2263c99750bc56df2a,https://github.com/spring-projects/spring-security-oauth
SonarSource/sonarqube,bdd538eb0c2b5937c565480ecab58908d095aad2,https://github.com/SonarSource/sonarqube
stephanenicolas/robospice,8bffde88b3534a961a13cab72a8f07a755f0a0fe,https://github.com/stephanenicolas/robospice
dyc87112/SpringCloud-Learning,f4c224d041cf2f60f1e8c35c31243b4eb53b6c3a,https://github.com/dyc87112/SpringCloud-Learning
keycloak/keycloak,4f5b41c65b5e7cbf27ca08d78e8f57c6338dff6f,https://github.com/keycloak/keycloak
gephi/gephi,6ad873ddf3808ab4b94cc3d61f55d9fbeee3c28b,https://github.com/gephi/gephi
mybatis/generator,576450a938d22a0b331b2f8c4929b0ca517549b1,https://github.com/mybatis/generator
yahoo/anthelion,617dd4485b49e15661ec3d8c291b6a3066b55e28,https://github.com/yahoo/anthelion
shekhargulati/99-problems,ddc4998812a1a6a63772dc6a6ee9fb5aeb14ed6f,https://github.com/shekhargulati/99-problems
psaravan/JamsMusicPlayer,f165057dd664727ed06b9fac2c27557e5fb7e7ee,https://github.com/psaravan/JamsMusicPlayer
spring-cloud/spring-cloud-netflix,f33895af6d3f0b39c67c32b8532bf8ab752beb7a,https://github.com/spring-cloud/spring-cloud-netflix
hazelcast/hazelcast,962b82b80854a06f21da51baa0729661c5b71fab,https://github.com/hazelcast/hazelcast
jersey/jersey,faa809da43538ce31076b50f969b4bd64caa5ac9,https://github.com/jersey/jersey
bytedeco/javacv,210089a531576d11b9badf8df15925030264dcad,https://github.com/bytedeco/javacv
Exrick/xmall,6a24b9e7d233747765932780cb40546258b3567a,https://github.com/Exrick/xmall
kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,https://github.com/kevinsawicki/http-request
vavr-io/vavr,b68cc1faa82cd1fda84b16f28af5fc87b4fbae54,https://github.com/vavr-io/vavr
alipay/sofa-jarslink,0906a7f028d850534fcc7bf95fcad7222181f6f0,https://github.com/alipay/sofa-jarslink
abel533/Mapper,6d1ce6efd5a16b1bca9063e1b3b539059081371e,https://github.com/abel533/Mapper
aws/aws-sdk-java,5f796e85420430d64de162332a3b4a8216cc9551,https://github.com/aws/aws-sdk-java
spring-projects/spring-petclinic,85aab208502d36f067c91ee3fad36a75233f4b82,https://github.com/spring-projects/spring-petclinic
changmingxie/tcc-transaction,a997a140d3ca0afac47a617be5a3995acbfc2436,https://github.com/changmingxie/tcc-transaction
apache/tomcat,0387a58e41fbdf9903808f38a7706d2ca7a818af,https://github.com/apache/tomcat
jiangqqlmj/FastDev4Android,cf220e5265de08214e56a947d47e4871aeda8c14,https://github.com/jiangqqlmj/FastDev4Android
jOOQ/jOOQ,4eb8fe5ea989e6816c3ec9757125014bcac8e0ac,https://github.com/jOOQ/jOOQ
databricks/learning-spark,6b34161e2c1351500784a0d500c664c90846cacf,https://github.com/databricks/learning-spark
jfinal/jfinal,662b73c3a03daaea51f95fff324fd65d0386045e,https://github.com/jfinal/jfinal
hmkcode/Android,017c7b0a61bd6ff562b0717dcaa9f156edbf4fd6,https://github.com/hmkcode/Android
owncloud/android,57a37e79093b54f62219a1afc77fe074c7e84297,https://github.com/owncloud/android
vespa-engine/vespa,03c01d5476f9884b31328e8301e5e6e7bf7752ab,https://github.com/vespa-engine/vespa
cyrilmottier/GreenDroid,abd9769f677bb4a753f0bf1119f961187bdf7020,https://github.com/cyrilmottier/GreenDroid
eirslett/frontend-maven-plugin,a71f27bb206b2c7f80674000e982feac7e44d386,https://github.com/eirslett/frontend-maven-plugin
paascloud/paascloud-master,933adf4b3ce36c76cf3a4a784cbe507160e1be1c,https://github.com/paascloud/paascloud-master
junit-team/junit5,c1c4bbe26bb0dfb06961b79acd2def8dfc1e790a,https://github.com/junit-team/junit5
bytedeco/javacpp,2d731dc8a36a68a0c26a0c2a94567197bba3739f,https://github.com/bytedeco/javacpp
knowm/XChange,1668ae40c59f1aa904cfdfb618a073f538af19ef,https://github.com/knowm/XChange
brianway/java-learning,87d3e916e218abb6f1a5ff1f68d9245258b51895,https://github.com/brianway/java-learning
Tencent/MSEC,22469f1b618f9c296de010cfc6aec5436b270e57,https://github.com/Tencent/MSEC
apache/pulsar,e8cce5ca75316886f79a5e47ffd204aff3803a4b,https://github.com/apache/pulsar
square/wire,abf4cbeea604d4e7c8f4763661f1e2be70f482b0,https://github.com/square/wire
alibaba/Dragonfly,6344d54d3e807f99b98d9d7f3cb23b6041d6a655,https://github.com/alibaba/Dragonfly
eishay/jvm-serializers,066c1129a7609a8473e7c4177b3768b231c8a7ee,https://github.com/eishay/jvm-serializers
kbastani/spring-cloud-microservice-example,5e8dfa121c0613ebe6e18aa7e26ca1fd0421de21,https://github.com/kbastani/spring-cloud-microservice-example
JoanZapata/android-pdfview,8f239bb91ab56ff3066739dc44bccf8b1753b0ba,https://github.com/JoanZapata/android-pdfview
RobotiumTech/robotium,75e567c38f26a6a87dc8bef90b3886a20e28d291,https://github.com/RobotiumTech/robotium
cryptomator/cryptomator,76c84b34e9fb59eb768bc6c16095d1b9a9857ee4,https://github.com/cryptomator/cryptomator
oldmanpushcart/greys-anatomy,e80c55264520c4d2139e8ae6fc2866b447b6d077,https://github.com/oldmanpushcart/greys-anatomy
ming1016/study,ba967192d5c26208a271abda26f5f492a10c5475,https://github.com/ming1016/study
pedrovgs/Algorithms,9ae21a5c070c9a97e05ef56b2d1f6d764b609f9e,https://github.com/pedrovgs/Algorithms
crossoverJie/SSM,1c14460a95c23e2e57fb3fd25b445a0343cad5cf,https://github.com/crossoverJie/SSM
alibaba/cobar,3c6f64d5975ac78055e98cc031039d2e191740c0,https://github.com/alibaba/cobar
spring-projects/spring-data-examples,5d536b17f20b0b09204dad7f67b6b19e9490634d,https://github.com/spring-projects/spring-data-examples
google/binnavi,8e0aef41402db6c6ecb2a26bb943bbbc5fd989b2,https://github.com/google/binnavi
cglib/cglib,e8a17e928232469327b20007ea23deac9f5a7483,https://github.com/cglib/cglib
raphw/byte-buddy,8e2045e91856dbe004219f2a3b29e792cc7ce799,https://github.com/raphw/byte-buddy
fyhertz/libstreaming,e71b49c22fc19f41b60b8fef6a3e140a26b9aa82,https://github.com/fyhertz/libstreaming
jhalterman/failsafe,e3c37eb0482f6bff5eaaf223d7347be475ddf402,https://github.com/jhalterman/failsafe
apache/hbase,362b5dd25980af11ed6dde9c046bb10893a20a56,https://github.com/apache/hbase
chewiebug/GCViewer,99ceac829786b77c491b305ce0916c1f5ecb78fd,https://github.com/chewiebug/GCViewer
languagetool-org/languagetool,ccaf86daac930b3c89bff2a7f6c6a623a23bac63,https://github.com/languagetool-org/languagetool
youtube/api-samples,07263305b59a7c3275bc7e925f9ce6cabf774022,https://github.com/youtube/api-samples
apache/beam,194b976c9bd4f61ae8fc5f13b902c8ee00b2eded,https://github.com/apache/beam
Screetsec/TheFatRat,285cb4d657e5b0390cae570612ff12fbeb3c0c56,https://github.com/Screetsec/TheFatRat
h2oai/h2o-2,be350f3f2c2fb6f135cc07c41f83fd0e4f521ac1,https://github.com/h2oai/h2o-2
ronmamo/reflections,94f9d5a3de9b1e268280fe974a60147f575929d7,https://github.com/ronmamo/reflections
Twitter4J/Twitter4J,8376fade8d557896bb9319fb46e39a55b134b166,https://github.com/Twitter4J/Twitter4J
brianfrankcooper/YCSB,bcd492d77e99d274fc884ebd832525d328092f54,https://github.com/brianfrankcooper/YCSB
abel533/MyBatis-Spring-Boot,e099ad1ca82b287652da033d58ac52c1bb3c2cd3,https://github.com/abel533/MyBatis-Spring-Boot
mpusher/mpush,f8d5c97f30b2bde12f1b60d11709ae1b75587a2e,https://github.com/mpusher/mpush
eclipse/jetty.project,a903017f5f317ef76a9f85571939bd9001d170d0,https://github.com/eclipse/jetty.project
twitter/distributedlog,8e619cd735093e45eef741e5be3c36dbc0598eba,https://github.com/twitter/distributedlog
oracle/opengrok,d0ba60458679e1b3fe732943ab76c86fcf060076,https://github.com/oracle/opengrok
Prototik/HoloEverywhere,b870abb5ab009a5a6dbab3fb855ec2854e35e125,https://github.com/Prototik/HoloEverywhere
javaee-samples/javaee7-samples,3ec0551562e59fcbdb1eedf43247cb7afcd5df9b,https://github.com/javaee-samples/javaee7-samples
ffay/lanproxy,945d2f821cfdb048f21a9fac4ba16f7f4baa2d23,https://github.com/ffay/lanproxy
bigbluebutton/bigbluebutton,1528911a8ee00860ef9ba5fcd24f24079145bcd4,https://github.com/bigbluebutton/bigbluebutton
apache/camel,5e34af225e7cebf4ffa92d938e41d0eb46833475,https://github.com/apache/camel
google/google-java-format,3fcb71ae3bd964676e3ca99d36de98cb7491a3ff,https://github.com/google/google-java-format
chanjarster/weixin-java-tools,2a0b1c30c0f60c2de466cb8933c945bc0d391edf,https://github.com/chanjarster/weixin-java-tools
apache/hive,bc39c49988c8a5d881a23ed7dd5d4adba0509ee9,https://github.com/apache/hive
ata4/disunity,6c1c3215419faaca427fa8d1e960f13cde76e766,https://github.com/ata4/disunity
ityouknow/spring-cloud-examples,3b03483788053abe16b7042ab7ffe5e12f4e70cc,https://github.com/ityouknow/spring-cloud-examples
zhanglei-workspace/shopping-management-system,846c7d6c94047b00c3e2731426e9f6ba4720719a,https://github.com/zhanglei-workspace/shopping-management-system
thingsboard/thingsboard,7e1466ffdeb5e2a8845568e56076aed1a9508fc9,https://github.com/thingsboard/thingsboard
quartz-scheduler/quartz,5a8195854b9e7ee8c7994822b5bca4042abd46ac,https://github.com/quartz-scheduler/quartz
btraceio/btrace,fc8fc2876269648fc9b9791119d4a73ced3e2f0f,https://github.com/btraceio/btrace
immutables/immutables,a24a29d7fab97a8ec37dd43da429e38bc8b5d108,https://github.com/immutables/immutables
looly/hutool,e48d1fa385360aa8e2574447b400902e0ed26b62,https://github.com/looly/hutool
wildfly/wildfly,9dce58022ad24c9cae44ca858d3e66c01f67536c,https://github.com/wildfly/wildfly
apache/incubator-dubbo-spring-boot-project,314b04e791b2c14ea087ab0d02da61dd4f1f6c46,https://github.com/apache/incubator-dubbo-spring-boot-project
mybatis/spring-boot-starter,bb3d297a70cd79293cac0f34019f66f47aaf454b,https://github.com/mybatis/spring-boot-starter
undertow-io/undertow,93ece1d12d21f1007e21b16a0fa4f8c98c943f8b,https://github.com/undertow-io/undertow
pentaho/pentaho-kettle,c35f2329fff88c21df15b66d2422348886ccbce3,https://github.com/pentaho/pentaho-kettle
aragozin/jvm-tools,09a58c0080722a9ee1b50ef41a602190e3afbae7,https://github.com/aragozin/jvm-tools
alibaba/easyexcel,f0ce61bdaa418790e26013c076c5002da29665ff,https://github.com/alibaba/easyexcel
CrawlScript/WebCollector,4ca71ec0e69d354feaf64319d76e64663159902d,https://github.com/CrawlScript/WebCollector
code4craft/netty-learning,73fd879a7dbc159a63157a6d91891b7e74783bbe,https://github.com/code4craft/netty-learning
alibaba/nacos,216f1a82599eb68a3478e1e982764bf23e7443a0,https://github.com/alibaba/nacos
androidquery/androidquery,45ed6c85dcf0b3b58a08810b423886fb275b33b0,https://github.com/androidquery/androidquery
apache/ignite,2439ade4d69c1904947a14b1c965235cbce4d896,https://github.com/apache/ignite
skavanagh/KeyBox,9a059c47c9dc687d126869ef7d8eaa8b47a5dc81,https://github.com/skavanagh/KeyBox
javaparser/javaparser,b5b486a812be37af2e378379ab10aeca10b7d4a4,https://github.com/javaparser/javaparser
alipay/sofa-boot,2c4e571bee026e0078b7d000e44c08e8e17bfbc1,https://github.com/alipay/sofa-boot
ltsopensource/light-task-scheduler,64d3aa000ff5022be5e94f511b58f405e5f4c8eb,https://github.com/ltsopensource/light-task-scheduler
apache/incubator-pinot,7341670667d1df852ea1a0c9f156a384b8f4f6e5,https://github.com/apache/incubator-pinot
querydsl/querydsl,2bf234caf78549813a1e0f44d9c30ecc5ef734e3,https://github.com/querydsl/querydsl
confluentinc/ksql,89461e98b3271b4f64770e5202898cefa357cf5d,https://github.com/confluentinc/ksql
square/keywhiz,7c3c3a0b8f2bcc636fa4a7ddd690d5b3ec5928f0,https://github.com/square/keywhiz
JakeWharton/RxRelay,82db28c4126f4cec6d762804c38adb1b95475b3c,https://github.com/JakeWharton/RxRelay
bonnyfone/vectalign,3393c5ee3440a48d5e7cec04bb6e2f0da532ba51,https://github.com/bonnyfone/vectalign
apache/shiro,f782eb1084df73eff3e2ac0f9780cb4a4f429041,https://github.com/apache/shiro
google/rejoiner,5e3525bd07408b82ba73a34bb516b23fae200a3a,https://github.com/google/rejoiner
guoguibing/librec,d3a78b516227e308506c9ea237d9b8888ba7fd87,https://github.com/guoguibing/librec
spotify/helios,25a83fc2b19840ce3d0354d42a11ab27327ac224,https://github.com/spotify/helios
zhangkaitao/es,0c6b3cbb8ef26f29b32d164efb0d9d97dd7e497f,https://github.com/zhangkaitao/es
nutzam/nutz,09bb13274c94ca4e3cb5139fef79217b22137cad,https://github.com/nutzam/nutz
Netflix/curator,7fa8c085f45977be1db980731f4faf580925db08,https://github.com/Netflix/curator
deathmarine/Luyten,ba68ee10ef017cc92bcffdb3c7a33c64397e84bb,https://github.com/deathmarine/Luyten
twosigma/beakerx,defc90837f34aaaed29dcca7cff598f073a6f52b,https://github.com/twosigma/beakerx
alipay/sofa-rpc,01ae8473ce8138f438448b5b9b6ab9cef90a5161,https://github.com/alipay/sofa-rpc
prontera/spring-cloud-rest-tcc,ce2d76857834fc9fc624cbf4caf363110e5eb022,https://github.com/prontera/spring-cloud-rest-tcc
lettuce-io/lettuce-core,ce632ff44520b3a1b5a7b555c185dd46a991a7c6,https://github.com/lettuce-io/lettuce-core
pmd/pmd,1d652fc81cfe3d380b5a586f8ea3539fafa42136,https://github.com/pmd/pmd
addthis/stream-lib,04db8b326ffa98a8528dd3ce80b114f56f8fa2da,https://github.com/addthis/stream-lib
JanusGraph/janusgraph,be6a62f0ad57fbf4657c41ee46192ed74e5e848f,https://github.com/JanusGraph/janusgraph
Red5/red5-server,8678ce12a0e9e82a9c6d4b641eb7635a14f602d5,https://github.com/Red5/red5-server
FasterXML/jackson-databind,33b8b693e2a9731d09829b7f52d509a34c56a044,https://github.com/FasterXML/jackson-databind
Bukkit/Bukkit,f210234e59275330f83b994e199c76f6abd41ee7,https://github.com/Bukkit/Bukkit
jboss-javassist/javassist,fa3dd56b836208944683de8a50bb36e96b5e001e,https://github.com/jboss-javassist/javassist
vert-x3/vertx-examples,78b4e297621d9edd4930232cdfa75552523e298c,https://github.com/vert-x3/vertx-examples
akaxincom/openzaly,91bd03be6c9b26a35641aca32ddc7ad9cf123bc6,https://github.com/akaxincom/openzaly
libgdx/packr,98a8df1490518ae588eda04989345c5f762efb4a,https://github.com/libgdx/packr
ninjaframework/ninja,e11648850ee1c10065d25acedf300317c9c86398,https://github.com/ninjaframework/ninja
floragunncom/search-guard,e2e52cf0e5bba744a0d90ea85b041bfeaad854e0,https://github.com/floragunncom/search-guard
kiegroup/drools,47a69813fdb58bd178f5924848a17813b18949ed,https://github.com/kiegroup/drools
cucumber/cucumber-jvm,622bb1caef0befdc68e85f07d7544d32e3df79b1,https://github.com/cucumber/cucumber-jvm
